start;flesch_reading_ease;flesch_kincaid_grade;honore_r_measure
0;22.085454545454553;18.3769696969697;1539.9606063541632
857;30.331666666666678;13.500370370370373;2243.8035261924038
1240;36.83426315789478;15.673894736842104;894.4958000531175
2077;15.721612903225804;18.767741935483873;1547.675394391909
2507;17.57307692307694;20.49692307692308;1977.3748344614048
3719;25.926088495575243;15.257628318584072;1725.4965538300046
4411;33.137156593406615;14.289093406593405;1638.1542418403296
5023;28.697951070336416;18.28275229357799;1364.7557475575688
5644;35.423289473684235;15.398684210526316;1617.22050713382
5988;45.31724264705883;11.689665032679738;1461.9710209046764
6873;19.544863861386176;16.80601485148515;1407.6117576365841
7514;10.005000000000052;19.316666666666666;1836.6465860975634
7730;15.56617647058826;19.53470588235294;5994.812891847473
7961;22.709198113207577;16.675188679245284;2231.78870932506
8620;45.28250000000003;12.781382978723403;1565.9170645869049
10324;44.75867226890756;12.92897478991597;1513.3891061519846
11052;33.82697916666669;13.840937500000003;1637.5602140728708
11907;36.59544217687079;12.212653061224493;1517.8099162631445
12228;-21.809999999999945;17.04666666666667;2029.6816251489483
12252;75.42784482758621;6.340862068965521;2512.658529529801
12396;59.745000000000005;6.416666666666668;2045.2891042773736
12434;56.252000000000024;11.624000000000002;1690.6477101087626
12727;42.61571428571432;9.054285714285715;1211.2107921996471
12776;62.836887755102055;10.581326530612245;1207.6055072205447
13039;42.61571428571432;9.054285714285715;1412.0085224626062
13086;56.98250000000003;11.149468085106381;1396.144416297496
13337;75.87500000000001;3.6700000000000017;1617.343421306539
13360;68.715;8.146666666666668;1311.6015836849551
13544;54.72500000000002;6.620000000000001;1254.19768637166
13571;45.86583333333337;10.215740740740742;1529.3067483634577
13739;29.452500000000015;21.075833333333332;1610.1406762940599
13980;54.70142857142861;7.368571428571428;1089.645557106245
14025;53.97000000000003;14.675;1254.319959203731
14886;6.390000000000015;13.113333333333333;1174.5961322761598
14919;50.470769230769264;9.44923076923077;823.7295991866746
15266;69.23333333333335;5.838518518518523;1812.7102763023813
15424;-48.3147058823529;49.56117647058824;908.0334636911905
16144;34.160909090909115;11.22727272727273;1254.19768637166
16221;42.87932467532468;11.10431168831169;1474.8874212398798
16700;34.160909090909115;11.22727272727273;2443.4581910696747
16771;9.4447368421053;16.662105263157894;2443.4581910696747
16904;31.03181818181821;22.594545454545457;2443.4581910696747
17154;28.758947368421076;23.408421052631585;1690.7305301853578
17430;40.4914285714286;12.828571428571426;1328.9491976118643
17655;33.095777027027054;15.537004504504505;2413.634228172572
18320;46.003000000000014;11.513276595744681;1793.0846721205583
19494;0.07024193548389235;17.100161290322585;2403.7910431396012
19753;18.465000000000032;18.136666666666667;1201.007738251816
20166;12.12642857142859;22.001904761904758;1606.1710895807012
20693;47.991363636363644;12.030909090909088;1303.443096127401
20957;6.434090909090941;23.292727272727273;1702.8853352632175
21262;28.80507530120485;14.396475903614459;1796.9951805039495
21799;21.41326923076926;16.73173076923077;1853.311833229624
23145;-15.743387096774171;30.857741935483876;1428.6234409771473
23550;37.07523584905661;14.671415094339626;1791.7423887904256
24203;35.73416666666668;11.587500000000002;1846.711224612564
24709;-0.10767441860465965;23.95674418604651;2256.720069416138
24995;15.812500000000028;16.395;1934.3314880709752
25302;10.442500000000024;19.7525;1439.6133750091174
25732;16.295889830508486;18.315;1168.8940672529732
26114;66.10000000000002;6.2755555555555596;2197.22457733622
26171;87.99727272727276;3.7181818181818187;1847.3401307306801
26238;90.99000000000004;1.3133333333333361;1847.3401307306801
