start;end;flesch_kincaid_grade;confidence
0;239;19.023913043478263;0.8212474950597299
241;652;17.12;0.9192478765325911
654;1251;12.92464285714286;0.69545862464338
1253;1597;14.84941176470588;0.8793615504488175
1599;2150;8.856934579439251;0.3068075763781494
2152;3455;15.130540694365397;0.9062221426423992
3457;3935;10.39179292929293;0.4534563195731843
3937;4348;17.415000000000003;0.9003254792949524
4350;4736;30.38169014084507;0.6341633433708974
4738;6283;14.205396825396829;0.8178288484522438
6285;6389;2.766923076923078;0.17744655697902
6391;6677;7.471818181818183;0.17446599651227557
6679;6827;5.483157894736845;0.0150729490956092
6829;6988;6.840641025641027;0.11415988637799489
6990;7083;0.4040000000000017;0.2502078083727143
7085;7169;3.11452380952381;0.16300632568707737
7171;7322;5.976351351351351;0.03158093405766509
7324;7795;3.7641340206185596;0.13223741117668641
7797;8541;9.869285714285716;0.4035331286816922
8543;8842;12.298636363636366;0.6356465478394131
8844;9790;7.33562834224599;0.16145367598699742
9792;9902;3.0953846153846136;0.16383496964104005
9904;9985;1.1571052631578986;0.23085754952649354
9987;10040;-1.053333333333331;0.2807158934098042
10042;10228;2.4700000000000024;0.18883606399034125
10230;10473;3.7771428571428594;0.1315637548587524
10475;10519;-0.26333333333333186;0.2651683831970344
10521;10786;7.621967213114754;0.18881205439683102
10788;10993;5.993333333333336;0.03320348529495439
10995;11134;4.790909090909089;0.07021241182412642
11136;11410;1.564583333333335;0.21908327733311053
11412;11772;14.611;0.8565823893227366
11774;11996;3.681000000000001;0.13648496360297654
11998;12353;10.683023255813957;0.48128205435102867
12355;12543;3.8072727272727285;0.12999397613874353
12545;13145;10.113860465116279;0.4269011351364638
13147;13458;9.17864864864865;0.33754589429668336
13460;13673;2.342222222222226;0.19349357833049916
13675;14485;6.167573964497041;0.04985138611010324
14487;14906;17.03777777777778;0.9248449443868243
14908;15610;5.43418181818182;0.019434918838540823
15612;16279;7.915359675785208;0.21684437146219407
16281;16519;9.64308510638298;0.38192068811865815
16521;16753;7.054615384615385;0.1346041643939723
16755;17288;4.741866666666667;0.07364692537306686
17290;17591;2.5714383561643857;0.18503660662571764
17593;17938;6.292685185185185;0.06180519492592123
17940;18406;14.220454545454547;0.8192675452036787
18408;18754;26.200588235294116;0.6707749542928636
18756;19808;10.237984449760766;0.4387606180328556
19810;20772;12.923469387755102;0.6953465049738945
20774;21526;12.8246618705036;0.6859058955361989
21528;22413;23.208000000000002;0.7122265070652015
22415;23283;10.339047619047623;0.44841674477617205
23285;23548;7.43;0.17047045919971343
23550;24390;4.715294117647058;0.0754850107543776
24392;24981;12.081785714285719;0.6149274533436041
24983;25713;19.37352517985612;0.8080259096604743
25715;26351;11.945582089552243;0.6019138157087851
26353;27681;9.600312500000001;0.37783395987442786
27683;27858;3.360606060606063;0.15197618534460783
27860;28862;11.518024164889841;0.5610625982001489
28864;29206;6.8750000000000036;0.1174427303014715
29208;29585;5.649567567567569;0.0003582279408575291
29587;31190;11.07959595959596;0.5191727747557043
31192;32556;15.7613413304253;0.9664922779898285
32558;33059;13.405102040816328;0.7413643171451952
33061;33536;12.923469387755102;0.6953465049738945
33538;33995;7.28235294117647;0.15636345341968275
33997;34365;15.353333333333335;0.9275089672544997
34367;35876;12.829788927335638;0.686395762526713
35878;36679;31.222547169811325;0.6286180076404723
36681;37070;9.975945945945949;0.4137240293099851
37072;37291;16.51707317073171;0.9640810352435671
37293;37950;3.1717391304347835;0.16050460969781674
37952;38528;15.176153846153845;0.9105802720968716
38530;39443;8.894468864468866;0.3103938068122751
39445;40414;7.570000000000004;0.18384682324611723
40416;40900;6.9228021978021985;0.1220100131587597
40902;42115;13.18326530612245;0.7201688248442614
42117;42804;14.542323943661973;0.8500207041023883
42806;44025;6.508031746031747;0.08238058059752557
44027;44098;0.5872222222222234;0.24576078325908404
44100;44388;3.86373015873016;0.1270162147232711
44390;44497;3.2162962962962993;0.15853049033985264
44499;45120;8.474124087591239;0.2702317728085653
45122;45145;2.879999999999999;0.17288677792926765
45147;45188;1.5731818181818191;0.2188237110647539
45190;45505;2.5652895752895795;0.18526955403765644
45507;46062;9.737333333333336;0.39092567807877254
46064;46190;2.5238709677419386;0.18682977014786828
46192;46347;3.842439024390245;0.1281447955091341
46349;46483;9.483333333333334;0.36665713188029764
46485;46854;5.658075949367092;0.0011711651722590177
46856;46925;0.9132352941176478;0.23744372005582146
46927;47434;11.195641592920357;0.5302604078795798
47436;47607;3.34070512820513;0.1528949691491459
47609;48210;17.463200000000004;0.8973949059055815
48212;48368;6.075000000000003;0.04100636432202305
48370;48935;16.172758620689653;0.9942652076585063
48937;49471;6.964468864468866;0.12599107388685601
49473;49765;12.086403508771934;0.615368662630312
49767;50581;8.400216450216451;0.2631702337847458
50583;50804;17.392727272727274;0.9016943182495444
50806;51339;2.976933884297523;0.16887407569333193
51341;51657;10.872857142857146;0.4994198199326967
51659;51750;9.011666666666667;0.3215915244382478
51752;52477;7.83599137931035;0.20926109126654707
52479;52664;1.0935714285714297;0.2326050228345573
52666;53122;3.2552808988764035;0.1567843378169825
53124;53246;3.1234074074074094;0.1626203147543884
