start;end;flesch_kincaid_grade;confidence
0;43;6.416666666666668;0.8771890080287076
47;118;-2.327499999999999;0.18939800281273658
123;146;-2.8149999999999995;0.21290474408622181
151;176;-0.942499999999999;0.09524510976945375
181;226;2.1950000000000003;0.30648424738534463
231;285;-1.6449999999999996;0.14918436234752241
290;368;0.9132352941176478;0.13320926443902845
373;433;-0.6533333333333324;0.06789781693904877
438;571;2.829615384615387;0.3922745405975484
575;653;-2.4639999999999986;0.19635920992670058
658;688;-4.586666666666666;0.27483428276011934
693;718;-2.8149999999999995;0.21290474408622181
723;826;-0.03590909090908845;0.004899461263503282
828;838;2.890000000000004;0.40043761698198244
842;861;4.661666666666669;0.6399398517091416
866;920;0.20057692307692498;0.0368687531720838
925;969;7.689285714285713;0.9551846680030976
974;1025;-0.4666666666666668;0.048191988019911765
1030;1055;1.9050000000000011;0.2672806830932227
1060;1353;11.15483870967742;0.745647761499338
1358;1393;-3.7049999999999983;0.24775642173879334
1398;1535;4.620000000000001;0.6343071556901584
1540;1605;1.495000000000001;0.21185495426642947
1610;1807;4.961904761904762;0.6805274498802134
1812;1856;-1.8399999999999999;0.16169861387360762
1858;1885;-1.8399999999999999;0.16169861387360762
1890;1941;-0.4666666666666668;0.048191988019911765
1946;1992;1.7000000000000028;0.23956781867982635
1997;2048;-1.2872727272727271;0.12364460992934906
2053;2133;0.502352941176472;0.07766425499065682
2138;2162;5.840000000000003;0.7992324951259825
2167;2354;5.196666666666669;0.712263668592884
2359;2378;2.890000000000004;0.40043761698198244
2383;2409;-0.6533333333333324;0.06789781693904877
2414;2463;-1.4499999999999993;0.13570870704194019
2465;2480;1.3133333333333361;0.18729639962366362
2484;2519;-0.754999999999999;0.07792417184916989
2524;2737;1.2327777777777804;0.1764065206536297
2742;2972;1.679849056603775;0.2368437193523059
2977;3077;2.109090909090913;0.294870652320751
3082;3225;3.633333333333333;0.5009249139606395
3230;4925;18.826281118345467;0.6216675815125192
4927;5446;4.469047619047618;0.6139007026842425
5451;5526;-1.3794444444444434;0.13057424768246018
5531;5547;0.7283333333333353;0.10821334751714144
5552;5567;0.7283333333333353;0.10821334751714144
5572;5587;-3.2049999999999983;0.22929459835728416
5589;5600;2.890000000000004;0.40043761698198244
5602;5749;13.852500000000003;0.6808449153119911
5754;5803;-0.5722727272727273;0.0595557279070378
5808;6186;6.507439024390244;0.8894600423803067
6191;6555;8.671948051948053;0.8665320706566594
6560;7045;5.612727272727273;0.7685086986588018
7047;7054;-3.3999999999999986;0.23680724581053972
7056;7070;14.690000000000001;0.6671550793710723
7072;7193;10.823478260869567;0.7569577659462123
7197;8350;14.187770562770563;0.675103946244327
8352;8952;13.960672268907562;0.6789519346095311
8957;9009;0.560384615384617;0.08550924971754818
9014;9059;3.6700000000000017;0.5058816864573449
9061;9090;3.6700000000000017;0.5058816864573449
9092;9774;4.07228310502283;0.5602642091173343
9779;9897;0.053384615384615586;0.01697060455856221
9902;10085;2.2716666666666683;0.31684840806027365
10090;10187;-1.708846153846153;0.15338245264875183
10192;10454;5.196666666666669;0.712263668592884
10459;10485;0.946428571428573;0.1376964878222184
10490;10544;0.5166666666666693;0.07959925174070764
10549;11035;8.26962962962963;0.8982913247719166
11040;12382;15.06595573440644;0.6616615606864983
12387;12479;3.0599999999999987;0.4234190167394326
12484;12526;0.5199999999999996;0.08004986742222588
12531;12888;4.620650684931508;0.6343951183403179
12890;12897;-3.3999999999999986;0.23680724581053972
12899;12912;8.790000000000003;0.8581521435597127
12916;14346;4.658490566037738;0.6395104914842984
14350;14377;-0.45500000000000007;0.04690052545057627
14382;14446;2.301470588235297;0.32087744238914645
14451;14501;-1.6449999999999996;0.14918436234752241
14506;14614;1.7518181818181837;0.2465728442743433
14619;14636;-3.01;0.22134046272978333
14641;14774;0.9133793103448262;0.13322873323013634
14779;15033;3.566428571428574;0.4918804134958728
15038;15087;0.5004545454545486;0.07740762092604886
15092;15183;1.9907142857142865;0.27886794347513066
15188;15230;0.5872222222222234;0.08913728366618541
15235;15451;5.093023255813957;0.6982526647279906
15456;15555;-0.42399999999999594;0.04343277745470687
15560;15641;-0.2569047619047602;0.02378754837912404
15646;15690;-1.8399999999999999;0.16169861387360762
15695;15746;-1.8683076923076918;0.1634414494615775
15751;15915;1.9305303030303058;0.27073198956303623
15920;15954;-0.7392857142857139;0.07640494174146197
15959;16697;10.62784210526316;0.7641378419303262
16702;16776;-3.900833333333331;0.2543188728047091
16781;17077;4.383571428571429;0.6023456291367287
17082;17103;-0.0600000000000005;0.0016427388379817714
17108;17219;1.912037037037038;0.26823198286531763
17224;17323;-0.4649090909090887;0.047997901228547676
17328;17371;-0.7071153846153848;0.07326040346248365
17376;17433;-2.424999999999999;0.19440233849218352
17438;17514;-1.8399999999999999;0.16169861387360762
17519;17600;2.932500000000001;0.4061829669213448
17605;17644;-1.634999999999998;0.14851760152693436
17649;17704;-0.572045454545453;0.05953188603723923
17709;17739;-2.424999999999999;0.19440233849218352
17744;17778;-0.754999999999999;0.07792417184916989
17783;17881;1.0670238095238105;0.153999119442875
17886;17905;2.890000000000004;0.40043761698198244
17910;17931;-0.6533333333333324;0.06789781693904877
17936;17965;-1.194285714285714;0.1163851656248385
17970;18031;0.9132352941176478;0.13320926443902845
18036;18089;-4.199999999999999;0.2637100034379585
18094;18120;-0.6533333333333324;0.06789781693904877
18125;18524;8.487674418604652;0.8804262600434255
18529;18558;1.3133333333333361;0.18729639962366362
18560;18566;-15.2;0.4017702450387025
18571;18818;2.2163636363636385;0.30937228425325985
