start;hapax_dislegomena;flesch_kincaid_grade;hapax_legomena;yule_i;dale_chall_readability_score;honore_r_measure;gunning_fog_index;sichels_s
0;0.07692307692307693;16.344;0.8269230769230769;104.0;10.34;2291.3277603221995;20.400000000000002;0.0017889087656529517
300;0.07428571428571429;14.981904761904762;0.5828571428571429;73.26555023923444;9.43;1713.8776069038483;18.409523809523808;0.0007282913165266106
1502;0.12403100775193798;14.725951219512197;0.5736434108527132;62.56015037593985;8.41;1229.7804463729512;18.29528455284553;0.0016760946993505132
2242;0.08635097493036212;17.2428612716763;0.5348189415041783;96.61244377811094;9.25;1483.4247638206166;21.93795761078998;0.00044974466109563605
4444;0.08685968819599109;13.990198764437284;0.48552338530066813;93.3337962962963;8.61;1592.581004164359;17.977115229653503;0.0003984389366788582
7016;0.06299212598425197;21.370322580645162;0.6929133858267716;112.00694444444444;11.03;1581.0523535184518;25.243010752688175;0.0007158196134574087
7787;0.07471264367816093;14.687058823529412;0.4942528735632184;66.61386138613861;9.08;1541.2127395715127;18.27450980392157;0.00043437583533814493
9873;0.08085106382978724;14.605108695652174;0.5446808510638298;89.94299674267101;8.96;1673.255171976368;17.065217391304348;0.0006316489361702128
11272;0.07291666666666667;13.734623306233065;0.5130208333333334;104.72727272727273;8.72;1616.2334573548312;18.512086720867213;0.00037013536379018613
13650;0.11363636363636363;11.74537356321839;0.7045454545454546;94.4390243902439;9.38;1363.2772151682414;16.05632183908046;0.0018328445747800585
14179;0.03571428571428571;15.262222222222224;0.625;39.94904458598726;9.91;1931.3791311887405;21.540740740740745;0.000510204081632653
14901;0.09359605911330049;17.058988693467338;0.625615763546798;110.77688172043011;9.15;1899.3623194599652;20.60326633165829;0.0007369768434118149
16141;0.08898305084745763;11.849776714513556;0.5677966101694916;93.76430976430976;8.34;1604.1248449183574;15.483891547049442;0.0006640526182646092
17504;0.06181818181818182;13.541751765344923;0.5927272727272728;100.29840848806366;9.51;2145.2793023884396;17.248126018468223;0.0003792526491912995
19232;0.08522727272727272;11.632741617357002;0.6363636363636364;90.04651162790698;8.96;2051.9594859692293;15.085075608152534;0.0007609577922077921
20278;0.10526315789473684;9.785555555555558;0.8947368421052632;90.25;9.52;1541.531604211288;13.866666666666667;0.006191950464396284
20391;0.027777777777777776;12.812142857142856;0.9722222222222222;648.0;9.33;2275.4227593532246;16.142857142857146;0.0007936507936507937
