start;hapax_dislegomena;flesch_kincaid_grade;hapax_legomena;yule_i;dale_chall_readability_score;honore_r_measure;gunning_fog_index;sichels_s
0;0.08035714285714286;17.59861751152074;0.6383928571428571;107.67381974248927;10.25;1665.2063237149043;21.61658986175115;0.000561938061938062
1416;0.05029585798816568;14.488641975308642;0.5236686390532544;83.14701601164484;8.98;1975.0873678957123;19.5988603988604;0.0002841573897636479
3458;0.0721830985915493;12.563052415210688;0.426056338028169;86.12493326214629;8.04;1531.0305423851412;15.9861596437136;0.0002982772669072285
6662;0.0836734693877551;16.12408674004193;0.49795918367346936;83.36805555555556;9.21;1778.167092178197;20.39460167714885;0.0003429240548678488
9589;0.06756756756756757;14.95746031746032;0.5324324324324324;104.66360856269114;9.22;1699.3751961767387;18.952380952380953;0.00034298257648511456
11924;0.08695652173913043;13.727180451127818;0.6304347826086957;80.69491525423729;9.43;1956.1396512887015;17.588471177944864;0.0009995002498750624
12769;0.10416666666666667;16.907142857142855;0.6805555555555556;85.68595041322314;10.73;1877.8241205915351;19.771428571428572;0.0010629251700680273
13649;0.05747126436781609;23.196764705882355;0.7471264367816092;67.58035714285714;11.19;2332.3919096574164;25.470588235294116;0.0008841732979664014
14159;0.06172839506172839;12.70474842767296;0.4444444444444444;70.64333781965007;8.17;1402.4615629785715;15.883018867924529;0.0004286694101508916
16071;0.0513126491646778;15.781617647058827;0.37828162291169454;67.87589406533927;8.32;1700.0479257230413;19.80874811463047;0.00016186955572453565
20824;0.07086614173228346;12.883377049180329;0.6141732283464567;80.645;8.7;1545.6415535228737;17.956721311475413;0.0009085402786190188
21548;0.06040268456375839;16.905747126436783;0.49440715883668906;76.32123758594346;9.46;1539.0876612091333;20.51954022988506;0.00027331531476813755
24293;0.08300395256916997;13.33247311827957;0.5810276679841897;68.97521551724138;9.06;2031.263222271309;17.796415770609322;0.0005646527385657821
25820;0.1;17.017346938775514;0.71;96.15384615384616;9.68;1558.8889427479949;18.78095238095238;0.0014084507042253522
26461;0.11384615384615385;14.782735849056607;0.5415384615384615;82.00698757763975;9.03;1454.2320156540445;18.90188679245283;0.0006468531468531469
28435;0.11940298507462686;10.193750000000005;0.746268656716418;97.58695652173913;8.44;1366.4901559610348;13.9;0.0023880597014925373
28813;0.10091743119266056;12.39140740740741;0.6238532110091743;72.4451219512195;8.76;1282.4968143861993;17.15851851851852;0.0014840798704803023
29452;0.06965174129353234;15.933535353535358;0.5621890547263682;52.19767441860465;9.2;1774.128294168489;18.856565656565657;0.0006163870910932066
30549;0.09961685823754789;15.972812500000003;0.5593869731800766;97.31571428571428;8.73;1627.389032619002;20.45625;0.0006823072482023827
31980;0.1411764705882353;15.839523809523808;0.6705882352941176;92.62820512820512;10.04;1118.2537635175981;18.342857142857145;0.002476780185758514
32472;0.05186721991701245;13.423421052631578;0.4896265560165975;81.5744382022472;8.93;1762.7515177909327;17.30972346119536;0.00021977635558056123
35253;0.09385113268608414;14.832666666666672;0.5048543689320388;87.75827205882354;8.34;1542.1337801848247;19.333333333333332;0.0006016098249107957
37015;0.08333333333333333;11.547142857142855;0.8055555555555556;144.0;9.62;2464.1272403886283;15.619047619047619;0.0014367816091954023
37383;0.10317460317460317;11.194008264462813;0.5634920634920635;83.12041884816755;8.65;1622.2860390640874;14.8435261707989;0.0007265817124972055
38836;0.06007067137809187;16.890362318840584;0.5936395759717314;88.59402654867256;9.92;2065.1705506588596;20.61159420289855;0.0003575635201076897
40429;0.0891089108910891;11.274912280701756;0.5841584158415841;89.09170305676857;8.67;1574.1072216481457;14.760233918128655;0.0007551602617888907
41535;0.058823529411764705;17.008455089820362;0.6294117647058823;89.19753086419753;9.75;1620.6980405986392;22.70131736526946;0.0005497526113249038
42487;0.056962025316455694;15.79034210526316;0.5284810126582279;91.1094890510949;8.84;2087.3798816762246;20.317894736842106;0.0003410899719548245
